0	66700	0.2
0.2	63800	0.2
0.4	58500	0.2
0.6	52200	0.2
0.8	49600	0.2
1	49900	0.2
1.2	44700	0.2
1.4	35600	0.2
1.6	43300	0.2
1.8	40300	0.2
2	37300	0.2
2.2	34500	0.2
2.4	32700	0.2
2.6	35100	0.2
2.8	29300	0.2
3	27700	0.2
3.2	29500	0.2
3.4	25400	0.2
3.6	23900	0.2
3.8	23400	0.2
4	23700	0.2
4.2	21900	0.2
4.4	19700	0.2
4.6	20900	0.2
4.8	19100	0.2
5	19200	0.2
5.2	15600	0.2
5.4	14700	0.2
5.6	14300	0.2
5.8	13700	0.2
6	12300	0.2
6.2	14600	0.2
6.4	14300	0.2
6.6	11500	0.2
6.8	12000	0.2
7	11100	0.2
7.2	11300	0.2
7.4	9700	0.2
7.6	10800	0.2
7.8	9200	0.2
8	9500	0.2
8.2	9100	0.2
8.4	9900	0.2
8.6	7800	0.2
8.8	9100	0.2
9	7200	0.2
9.2	7900	0.2
9.4	6900	0.2
9.6	7600	0.2
9.8	5800	0.2
10	7100	0.2
10.2	6600	0.2
10.4	6400	0.2
10.6	5200	0.2
10.8	6400	0.2
11	5700	0.2
11.2	5300	0.2
11.4	3500	0.2
11.6	5200	0.2
11.8	5200	0.2
12	3700	0.2
12.2	5300	0.2
12.4	4800	0.2
12.6	4400	0.2
12.8	6400	0.2
13	5200	0.2
13.2	3400	0.2
13.4	4000	0.2
13.6	4800	0.2
13.8	3700	0.2
14	3200	0.2
14.2	1900	0.2
14.4	3000	0.2
14.6	3400	0.2
14.8	4100	0.2
15	3400	0.2
15.2	2100	0.2
15.4	3700	0.2
15.6	1900	0.2
15.8	2500	0.2
16	3000	0.2
16.2	3200	0.2
16.4	2400	0.2
16.6	4400	0.2
16.8	2600	0.2
17	2600	0.2
17.2	2500	0.2
17.4	2300	0.2
17.6	2100	0.2
17.8	2500	0.2
18	1600	0.2
18.2	2700	0.2
18.4	1800	0.2
18.6	2100	0.2
18.8	1900	0.2
19	2800	0.2
19.2	1700	0.2
19.4	2500	0.2
19.6	1800	0.2
